payment_amount,fine_amount,amount_due,plate,interest_amount,issuing_agency,violation,summons_number,violation_time,penalty_amount,precinct,judgment_entry_date,reduction_amount,violation_status,county,issue_date,summons_image,state,license_type
0,35,0,CWK1552,0,TRAFFIC,EXPIRED MUNI METER,8258522462,02:50P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxFeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GZM6774,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258522516,04:23P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,BTU1196,0,TRAFFIC,EXPIRED MUNI METER,8258522668,02:29P,0,112,,0,HEARING PENDING,Q,05/19/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GSN6226,0,TRAFFIC,EXPIRED MUNI METER,8258523272,05:47P,0,103,,0,HEARING PENDING,Q,05/21/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOZWtrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,CLW6705,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258523442,12:57P,0,103,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOZWxFd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
125.8,65,0,EMD8221,0.92,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8259005037,01:32P,60,104,04/28/2016,0.12,,Q,01/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGRPVkVGNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
95,35,0,FJZ5249,0.05,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259008476,06:31P,60,102,05/26/2016,0.05,,Q,02/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGRQUkZFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GNE7829,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259010823,06:18P,30,103,,65,HEARING HELD-NOT GUILTY,Q,02/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhOUkdkNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
145,115,0,GXC1022,0,TRAFFIC,NO STANDING-BUS STOP,8259012870,06:12P,30,103,,0,,Q,03/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhOYW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,GXN2609,0,TRAFFIC,NO PARKING-STREET CLEANING,8259015043,09:44A,10,102,,0,,Q,04/08/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPVkVFd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,DUG7582,0,TRAFFIC,NO PARKING-STREET CLEANING,8259015810,09:12A,10,112,,0,,Q,04/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPVkdkNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,FJB3788,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259016916,03:40P,10,112,,45,HEARING HELD-NOT GUILTY,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPYW10NFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GPH9703,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8259017052,03:06P,0,112,,0,HEARING HELD-GUILTY,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPZWtFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
20,35,0,42448MH,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259017209,03:28P,0,106,,15,HEARING HELD-GUILTY REDUCTION,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPZWtsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
175.72,115,0,GYK3884,0.72,TRAFFIC,DOUBLE PARKING,8259500620,06:06P,60,103,03/24/2016,0,,Q,12/07/2015,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROUkZsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,FXB7703,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8259503610,05:55A,0,107,,0,APPEAL AFFIRMED,Q,02/04/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROZWxsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,FXB7703,0,TRAFFIC,CROSSWALK,8259503621,05:57A,0,107,,0,APPEAL AFFIRMED,Q,02/04/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROZWxsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,GYM9019,0,TRAFFIC,NO PARKING-STREET CLEANING,8259504765,09:06A,0,103,,0,,Q,02/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGRPUkdNeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMS
,,,HYB7989,,,,8759483702,,,,,,,,07/14/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VOVVVVFJOZW1OM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,51577MG,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8259510110,02:36P,0,104,,0,HEARING HELD-GUILTY,Q,03/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOUkVWNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
115,115,0,70063MA,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8259510704,10:08A,0,103,,0,HEARING HELD-GUILTY,Q,03/19/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOUkdOM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
45,35,0,FCM3617,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259512919,06:35P,10,103,,0,,Q,04/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOYW10NFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,HFB9199,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8259513638,01:56P,10,107,,10,,Q,04/22/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOZWxsNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,EDP1735,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259513894,05:57P,10,104,,45,HEARING HELD-NOT GUILTY,Q,04/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOZW1jMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,FGY1993,0,TRAFFIC,EXPIRED MUNI METER,8259514242,04:19P,0,103,,35,HEARING HELD-NOT GUILTY,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPUkVrd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,ELH7457,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259514631,02:52P,0,112,,0,HEARING HELD-GUILTY,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPUkZsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,DRF8071,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259515313,12:58P,0,112,,0,,Q,05/05/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPVkUxNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,HAK6839,0,TRAFFIC,EXPIRED MUNI METER,8259515660,05:12P,0,104,,0,,Q,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPVkZreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GDN7057,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259516561,02:20P,0,107,,35,HEARING HELD-NOT GUILTY,Q,05/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYWxVeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
105,115,0,42778JM,0,TRAFFIC,NO STANDING-BUS STOP,8259516690,12:45P,0,102,,10,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYWxrMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,78792JW,0,TRAFFIC,NO STANDING-BUS STOP,8259516720,01:18P,0,102,,10,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYW1ONVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,78792JW,0,TRAFFIC,FIRE HYDRANT,8259516731,01:20P,0,102,,10,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYW1ONlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
65,65,0,GYM5172,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8259516860,05:38P,0,102,,0,,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYW1jeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,JWB8968,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8259516949,02:03P,0,112,,0,,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYW1zd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",PA,PAS
20,35,0,12056MJ,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259516962,03:14P,0,112,,15,HEARING HELD-GUILTY REDUCTION,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPYW1zeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
20,35,0,42437MH,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259517152,02:25P,0,103,,15,HEARING HELD-GUILTY REDUCTION,Q,05/14/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPZWtVeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
60,60,0,GJC1435,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8259517450,03:16P,0,103,,0,,Q,05/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPZWxFeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMS
105,115,0,63593MC,0,TRAFFIC,NO STANDING-BUS STOP,8259517760,04:58P,0,107,,10,HEARING HELD-GUILTY REDUCTION,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPZW1NeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,63593MC,0,TRAFFIC,FIRE HYDRANT,8259517772,04:59P,0,107,,10,HEARING HELD-GUILTY REDUCTION,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPZW1NelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,FTF9760,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259517796,05:47P,0,107,,0,HEARING PENDING,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPZW1NMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,ELP1526,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259518053,04:53P,0,103,,35,HEARING HELD-NOT GUILTY,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhQUkVFeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,115,0,71303ME,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8259518272,05:32P,0,103,,115,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhQUkVrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
65,65,0,HFL8161,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8259518570,10:00A,0,103,,0,HEARING PENDING,Q,05/22/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhQUkZVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,LLS405,,,,8759483854,,,,,,,,07/15/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VOVVVVFJOZW1jeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",SC,PAS
0,95,0,HBE8025,0,TRAFFIC,NO STANDING-EXC. TRUCK LOADING,8259518650,01:54P,0,103,,95,HEARING HELD-NOT GUILTY,Q,05/22/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhQUkZreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,L46FPD,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259518843,03:34P,0,107,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhQUkdjd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
145,115,0,HAP7716,0,TRAFFIC,NO STANDING-BUS STOP,8260010112,02:33P,30,106,,0,,Q,03/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhOUkVWNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,FWV3065,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8260015122,06:06P,0,107,,0,HEARING HELD-GUILTY,Q,04/01/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPVkVWNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,HFK5156,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8260015869,04:24P,10,112,,45,HEARING HELD-NOT GUILTY,Q,04/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPVkdjeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,DVS9759,0,TRAFFIC,NO PARKING-STREET CLEANING,8260016357,08:13A,10,112,,0,,Q,04/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPYWsweFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
75,65,0,GMR3661,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8260016527,10:10A,10,112,,0,,Q,04/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPYWxWNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,EUT2710,0,TRAFFIC,EXPIRED MUNI METER,8260016680,04:56P,0,106,,0,HEARING HELD-GUILTY,Q,04/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPYWxrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,60,0,CZN3090,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8260017118,12:15P,10,104,,70,HEARING HELD-NOT GUILTY,Q,04/21/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPZWtWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GNN6472,0,TRAFFIC,EXPIRED MUNI METER,8260017726,04:15P,10,104,,10,,Q,04/26/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhPZW1ONVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,FWF2651,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8260018093,03:41P,0,102,,0,,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhQUkVFMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,DEU3002,0,TRAFFIC,EXPIRED MUNI METER,8260018123,04:54P,0,102,,0,,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhQUkVWNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GXS8890,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8260018597,12:30P,0,112,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhQUkZVMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,U614ZR,0,TRAFFIC,EXPIRED MUNI METER,8260018652,01:44P,0,112,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhQUkZreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,CKZ7006,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8261029591,05:24P,0,103,,35,HEARING HELD-NOT GUILTY,Q,05/26/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMVVRWGxQVkZVMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,EVM9470,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8262028960,01:56P,0,104,,0,,Q,05/25/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMXFRWGxQUkdzeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GNJ4965,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8260018664,01:52P,0,112,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVRWGhQUkZreVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
95.53,35,0,FSG3139,0.69,TRAFFIC,EXPIRED MUNI METER,8260506452,06:23P,60,103,04/28/2016,0.16,HEARING HELD-GUILTY,Q,01/08/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGRPYWxFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
95,35,0,FGD5182,0.26,TRAFFIC,EXPIRED MUNI METER,8260509570,03:56P,60,103,05/19/2016,0.26,,Q,01/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGRQVkZVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
95,35,0,DAZ4422,0.05,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8260511605,06:01P,60,105,05/26/2016,0.05,,Q,02/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGhOVkZsM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GLM6231,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8260521635,12:34P,10,104,,45,HEARING HELD-NOT GUILTY,Q,04/07/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGxOVkZsNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,GYF5644,,,,1139483377,,,,,,,,05/01/2008,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSRmVrOVVVVFJOZWswelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",PA,PAS
35,35,0,33171PC,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8260522159,02:31P,0,102,,0,,Q,04/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGxOYWtVeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,IRP
0,35,0,HBR8527,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8260524302,02:08P,10,104,,45,HEARING HELD-NOT GUILTY,Q,04/21/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rMUVWWGxPUkUxM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
